timestamp,data1,data2,data3,data4,data5,data6,label
0.011,-0.13977,0.67969,0.77515,-4.02832,1.70898,-1.46484,1
0.021,-0.14368,0.67493,0.76782,-3.2959,2.92969,-1.15967,1
0.043,-0.14185,0.67249,0.7572,-3.11279,4.3335,1.2207,1
0.053,-0.14197,0.67322,0.76379,-3.84521,5.7373,2.2583,1
0.064,-0.14001,0.67444,0.77161,-4.27246,7.44629,3.11279,1
0.074,-0.13806,0.67529,0.77637,-4.21143,8.23975,3.35693,1
0.085,-0.13757,0.67395,0.77734,-2.86865,8.36182,2.68555,1
0.096,-0.13818,0.67126,0.77881,-2.0752,7.75146,1.89209,1
0.106,-0.13843,0.66992,0.78394,-1.0376,6.71387,0.91553,1
0.117,-0.14172,0.66821,0.78674,0.12207,5.79834,0.18311,1
0.127,-0.14868,0.66443,0.78271,0.79346,5.67627,0.48828,1
0.138,-0.15186,0.66125,0.77698,0.91553,5.79834,1.28174,1
0.149,-0.151,0.66028,0.77625,0.85449,5.49316,1.95312,1
0.159,-0.15002,0.66211,0.78174,1.0376,5.24902,2.44141,1
0.17,-0.14502,0.66931,0.79187,1.09863,4.82178,2.50244,1
0.18,-0.14111,0.66565,0.78711,0.61035,4.27246,1.95312,1
0.191,-0.1416,0.65991,0.78174,0.42725,3.96728,0.97656,1
0.202,-0.14648,0.65698,0.77588,1.52588,2.92969,0.18311,1
0.212,-0.14795,0.65942,0.76599,3.17383,1.46484,0.36621,1
0.223,-0.14453,0.66479,0.7627,3.90625,-0.12207,1.09863,1
0.233,-0.1416,0.66785,0.76599,3.60107,-2.31934,1.09863,1
0.244,-0.14014,0.67029,0.76379,2.86865,-6.22559,-0.30518,1
0.255,-0.13892,0.67334,0.75891,2.44141,-7.26318,-0.85449,1
0.265,-0.13757,0.6748,0.75732,2.0752,-8.23975,-1.34277,1
0.276,-0.1377,0.67542,0.75562,1.77002,-9.46045,-1.64795,1
0.287,-0.13916,0.67383,0.75696,1.77002,-10.31494,-1.83105,1
0.297,-0.13953,0.67139,0.76099,2.74658,-10.49805,-1.95312,1
0.308,-0.13818,0.6748,0.75647,3.17383,-10.00977,-1.95312,1
0.319,-0.13147,0.67969,0.75635,1.77002,-9.33838,-1.64795,1
0.329,-0.13013,0.67847,0.76453,0.54932,-8.72803,-1.34277,1
0.34,-0.12708,0.67798,0.76611,0.30518,-7.56836,-1.28174,1
0.361,-0.11536,0.67896,0.76001,-0.42725,-4.27246,-1.52588,1
0.372,-0.11304,0.67957,0.76233,-0.97656,-2.62451,-1.83105,1
0.382,-0.11841,0.68066,0.76465,-0.91553,-1.40381,-2.50244,1
0.393,-0.12891,0.6803,0.75964,-0.67139,-0.85449,-3.17383,1
0.404,-0.13989,0.67749,0.75464,-2.80762,-1.09863,-3.11279,1
0.414,-0.14758,0.67798,0.7572,-3.72314,-0.30518,-2.31934,1
0.425,-0.15137,0.67932,0.76306,-3.11279,1.0376,-1.15967,1
0.446,-0.15002,0.68286,0.76001,-2.01416,2.86865,1.28174,1
0.457,-0.14783,0.68225,0.75745,-2.92969,4.08936,2.19727,1
0.467,-0.14636,0.6792,0.76025,-3.60107,5.24902,2.86865,1
0.478,-0.13855,0.67883,0.76904,-3.479,6.04248,3.54004,1
0.489,-0.13196,0.67847,0.77197,-2.86865,6.65283,3.90625,1
0.499,-0.12915,0.67627,0.77417,-2.0752,6.83594,3.78418,1
0.51,-0.12793,0.67334,0.77441,-1.28174,6.46973,3.23486,1
0.521,-0.12878,0.6709,0.77625,-0.79346,5.5542,2.44141,1
0.531,-0.13123,0.67126,0.78186,-0.48828,5.24902,1.77002,1
0.542,-0.13171,0.67322,0.78577,-0.06104,6.5918,1.83105,1
0.553,-0.1333,0.67249,0.7843,2.01416,9.15527,1.83105,1
0.563,-0.13855,0.67004,0.77722,1.83105,9.09424,1.58691,1
0.574,-0.14172,0.67041,0.76892,-0.67139,8.91113,1.15967,1
0.585,-0.14233,0.66858,0.77332,-2.74658,8.97217,0.61035,1
0.595,-0.14685,0.6615,0.78308,-1.46484,8.54492,0.18311,1
0.606,-0.15283,0.65698,0.78052,0.97656,7.08008,0.48828,1
0.616,-0.1521,0.6582,0.77148,1.89209,5.24902,1.0376,1
0.627,-0.14685,0.66138,0.76941,1.46484,3.23486,0.73242,1
0.638,-0.14648,0.65894,0.77295,1.34277,0.79346,0.0,1
0.648,-0.146,0.65906,0.7677,1.70898,-1.64795,-0.30518,1
0.67,-0.13928,0.66565,0.76343,1.28174,-5.18799,-0.24414,1
0.68,-0.14172,0.66638,0.76477,0.67139,-6.71387,-0.85449,1
0.691,-0.14429,0.66809,0.76721,0.0,-7.87353,-1.28174,1
0.701,-0.14099,0.66943,0.76855,-0.42725,-8.42285,-1.28174,1
0.712,-0.13525,0.66858,0.76892,1.2207,-8.42285,-1.52588,1
0.723,-0.13208,0.67065,0.76282,2.50244,-8.11768,-1.52588,1
0.733,-0.12976,0.6748,0.75256,1.83105,-7.75146,-1.28174,1
0.744,-0.12732,0.67432,0.74988,-0.12207,-7.75146,-1.34277,1
0.754,-0.12744,0.67505,0.75439,-1.95312,-7.56836,-1.77002,1
0.765,-0.13062,0.67883,0.76147,-3.17383,-6.5918,-2.13623,1
0.776,-0.13293,0.67932,0.76855,-3.23486,-5.5542,-2.19727,1
0.786,-0.13196,0.68018,0.76917,-2.68555,-4.63867,-2.2583,1
0.797,-0.13,0.68201,0.75879,-2.31934,-3.54004,-2.31934,1
0.808,-0.1322,0.68164,0.7605,-2.44141,-2.38037,-2.38037,1
0.818,-0.1333,0.68201,0.76611,-2.68555,-1.15967,-2.19727,1
0.829,-0.13538,0.68176,0.76941,-2.68555,0.18311,-1.95312,1
0.839,-0.13965,0.67957,0.76758,-2.38037,1.46484,-1.70898,1
0.85,-0.14404,0.67651,0.76318,-2.19727,2.68555,-1.15967,1
0.861,-0.14636,0.67444,0.76172,-2.44141,3.90625,-0.36621,1
0.871,-0.14539,0.67346,0.76514,-3.17383,5.24902,1.77002,1
0.882,-0.14209,0.67334,0.77087,-2.99072,5.61523,2.13623,1
0.893,-0.13831,0.67188,0.77637,-2.44141,5.92041,2.01416,1
0.914,-0.13367,0.6687,0.78052,-1.2207,5.37109,0.97656,1
0.924,-0.13416,0.66772,0.78162,-0.61035,4.69971,0.30518,1
0.935,-0.13965,0.66589,0.78271,-0.06104,4.69971,0.30518,1
0.946,-0.14465,0.66199,0.7876,0.61035,5.31006,0.91553,1
0.956,-0.14514,0.66211,0.78528,1.34277,5.79834,1.46484,1
0.967,-0.14294,0.66553,0.77893,1.46484,5.92041,1.64795,1
0.978,-0.13928,0.66479,0.78174,-0.42725,6.04248,1.40381,1
0.988,-0.14172,0.65662,0.78906,-2.44141,6.28662,0.73242,1
0.999,-0.14893,0.65308,0.78137,-1.09863,6.04248,0.18311,1
1.009,-0.15027,0.65686,0.76599,1.95312,4.94385,0.42725,1
1.02,-0.14429,0.66223,0.76099,2.50244,0.67139,1.52588,1
1.031,-0.13916,0.66589,0.76782,1.58691,-1.70898,0.79346,1
1.041,-0.13794,0.66699,0.77637,1.52588,-2.99072,-0.30518,1
1.052,-0.13757,0.66638,0.77771,1.77002,-3.90625,-1.15967,1
1.063,-0.13574,0.66626,0.77087,1.70898,-4.57764,-1.77002,1
1.073,-0.13428,0.66687,0.76294,1.2207,-4.69971,-1.95312,1
1.084,-0.13416,0.66772,0.76001,0.42725,-4.45557,-1.89209,1
1.094,-0.13416,0.66846,0.76221,-0.30518,-4.15039,-1.89209,1
1.105,-0.13647,0.66699,0.76709,-0.79346,-3.90625,-2.13623,1
1.116,-0.13831,0.6665,0.7688,-1.15967,-3.54004,-2.38037,1
1.126,-0.13745,0.66699,0.76868,-1.34277,-3.11279,-2.38037,1
1.137,-0.13391,0.6676,0.76733,-1.52588,-2.62451,-2.2583,1
1.147,-0.13342,0.6687,0.76782,-1.70898,-2.2583,-2.38037,1
1.158,-0.1366,0.66833,0.76807,-1.95312,-1.95312,-2.74658,1
1.169,-0.13953,0.66772,0.76709,-2.31934,-1.64795,-2.86865,1
1.179,-0.14001,0.66858,0.76758,-3.05176,-1.52588,-2.68555,1
1.19,-0.1405,0.67017,0.76953,-3.11279,-1.28174,-2.86865,1
1.201,-0.14233,0.67065,0.77039,-2.99072,-0.42725,-2.92969,1
1.211,-0.14246,0.66968,0.76892,-3.05176,0.61035,-2.74658,1
1.222,-0.1405,0.67017,0.76868,-3.11279,1.28174,-2.62451,1
1.232,-0.13977,0.67188,0.77185,-2.99072,2.01416,-2.44141,1
1.243,-0.13782,0.67175,0.776,-2.56348,3.2959,-2.31934,1
1.254,-0.13391,0.67126,0.77747,-2.0752,4.94385,-2.74658,1
1.264,-0.13342,0.6731,0.77832,-1.58691,6.53076,-3.479,1
1.275,-0.13306,0.67163,0.77673,-0.97656,7.8125,-4.21143,1
1.285,-0.12939,0.66992,0.77087,-0.24414,8.66699,-5.18799,1
1.296,-0.13098,0.66919,0.76514,0.12207,9.94873,-7.08008,1
1.307,-0.13599,0.67603,0.7583,-0.61035,13.24463,-9.27734,1
1.317,-0.14551,0.67737,0.76184,-4.3335,17.27295,-11.41357,1
1.328,-0.17517,0.66504,0.77954,-10.62012,22.21679,-13.18359,1
1.338,-0.20081,0.65527,0.79175,-13.30566,31.67724,-12.93945,1
1.349,-0.1969,0.65039,0.78796,-7.62939,43.51806,-5.61523,1
1.36,-0.1803,0.65002,0.7782,-5.7373,43.21289,-2.80762,1
1.37,-0.17017,0.65771,0.78162,-5.18799,42.96875,-2.19727,1
1.381,-0.17529,0.66687,0.7998,-3.60107,45.04394,-2.56348,1
1.392,-0.18774,0.66675,0.80872,0.54932,48.95019,-2.2583,1
1.402,-0.19397,0.65845,0.79358,5.12695,51.02539,-1.28174,1
1.413,-0.18958,0.65234,0.771,7.69043,49.43847,-0.54932,1
1.423,-0.14966,0.65588,0.75513,7.62939,45.34912,-1.40381,1
1.434,-0.14258,0.62012,0.72766,5.61523,39.0625,-4.63867,1
1.445,-0.15869,0.60083,0.7041,1.09863,27.77099,-9.15527,1
1.455,-0.1842,0.62537,0.70398,-4.82178,14.64844,-11.59668,1
1.466,-0.22668,0.64319,0.72046,-9.15527,9.52148,-11.04736,1
1.476,-0.28394,0.6377,0.74841,-10.86426,13.12256,-8.8501,1
1.487,-0.32166,0.63062,0.78772,-10.49805,15.8081,-5.12695,1
1.498,-0.31921,0.64734,0.82715,2.2583,15.44189,4.45557,1
1.508,-0.28711,0.66858,0.82141,9.76562,23.13232,6.83594,1
1.519,-0.26111,0.66895,0.77856,11.53564,31.61621,6.53076,1
1.53,-0.26392,0.6615,0.73999,9.94873,37.17041,6.28662,1
1.54,-0.28064,0.64148,0.70703,8.30078,36.9873,8.42285,1
1.551,-0.29468,0.6084,0.68237,5.92041,26.79443,12.08496,1
1.561,-0.29028,0.62158,0.6936,3.60107,9.09424,15.56396,1
1.572,-0.25085,0.65723,0.72754,2.68555,-5.18799,16.29639,1
1.583,-0.1803,0.60852,0.75708,2.19727,-10.0708,12.45117,1
1.593,-0.19556,0.62476,0.76172,2.31934,-11.96289,6.89697,1
1.604,-0.22156,0.63354,0.77637,4.08936,-14.34326,2.62451,1
1.615,-0.24475,0.60242,0.78491,6.22559,-14.22119,-0.48828,1
1.625,-0.26892,0.63501,0.80042,6.95801,-19.104,-4.88281,1
1.636,-0.27258,0.72949,0.8324,9.27734,-30.45654,-9.52148,1
1.646,-0.24341,0.7821,0.83899,15.93017,-29.78515,-10.74219,1
1.657,-0.21069,0.76941,0.80859,29.84619,6.34766,-12.93945,1
1.668,-0.20154,0.72522,0.76721,31.61621,16.41846,-16.60156,1
1.678,-0.21436,0.70947,0.7428,31.06689,13.79394,-17.39502,1
1.689,-0.23486,0.71216,0.73865,29.96826,-1.83105,-15.44189,1
1.699,-0.26477,0.70093,0.75256,29.90722,-26.18408,-13.48877,1
1.71,-0.29333,0.68872,0.79102,33.3252,-48.21777,-12.75635,1
1.721,-0.30847,0.6825,0.82275,40.58838,-59.32617,-13.5498,1
1.731,-0.3136,0.67517,0.8158,48.21777,-59.63134,-13.91601,1
1.742,-0.31506,0.69226,0.75903,53.22265,-58.59375,-13.42773,1
1.753,-0.30432,0.70435,0.74316,56.76269,-62.01171,-13.24463,1
1.763,-0.28052,0.71021,0.71887,57.80029,-61.6455,-13.79394,1
1.774,-0.26196,0.71411,0.71729,49.56054,-52.67334,-16.78467,1
1.784,-0.26465,0.70972,0.74841,31.12793,-37.78076,-22.33887,1
1.795,-0.2655,0.68469,0.75842,16.17432,-22.27783,-25.57373,1
1.806,-0.25623,0.6532,0.72131,15.68603,-13.3667,-23.86474,1
1.816,-0.24707,0.65527,0.68274,31.49414,-22.70508,-11.47461,1
1.827,-0.23462,0.68665,0.68188,35.09521,-30.88379,-6.53076,1
1.838,-0.21765,0.7157,0.72583,36.74316,-31.98242,-5.31006,1
1.848,-0.20801,0.73914,0.7749,37.78076,-24.96338,-4.63867,1
1.859,-0.21704,0.75366,0.78735,36.49902,-16.35742,-2.99072,1
1.869,-0.23938,0.7572,0.77527,31.49414,-11.96289,-1.34277,1
1.88,-0.26697,0.75439,0.76672,24.59717,-11.04736,-0.12207,1
1.891,-0.29456,0.75403,0.76697,17.45605,-10.68115,2.2583,1
1.901,-0.27844,0.79919,0.80908,10.25391,-11.04736,5.31006,1
1.912,-0.25391,0.82739,0.84521,4.45557,-13.5498,7.01904,1
1.923,-0.23694,0.83838,0.86597,3.72314,-18.12744,8.17871,1
1.933,-0.21411,0.83484,0.85742,9.76562,-23.55957,11.04736,1
1.944,-0.18604,0.82764,0.82068,18.55469,-27.16064,14.34326,1
1.954,-0.16113,0.82556,0.78015,23.37646,-27.77099,15.68603,1
1.965,-0.14392,0.82068,0.7594,21.78955,-26.97754,14.46533,1
1.976,-0.13953,0.80725,0.75696,15.44189,-25.8789,9.70459,1
1.986,-0.14221,0.79639,0.76086,19.65332,-26.12304,9.94873,1
1.997,-0.14612,0.78711,0.75146,27.70996,-26.42822,11.53564,1
2.007,-0.14526,0.78088,0.71594,33.26416,-28.32031,13.24463,1
2.018,-0.13245,0.78882,0.67676,32.40967,-32.2876,14.28223,1
2.029,-0.1051,0.80652,0.65942,27.52685,-35.21729,14.46533,1
2.039,-0.08032,0.81982,0.66174,23.01025,-34.91211,13.48877,1
